wavelength, flux 
479.700,  0.955 
479.800,  0.845 
479.900,  0.897 
480.000,  0.921 
480.100,  0.852 
480.200,  0.917 
480.300,  0.895 
480.400,  0.948 
480.500,  0.814 
480.600,  0.958 
480.700,  0.900 
480.800,  0.934 
480.900,  0.887 
481.000,  0.923 
481.100,  0.901 
481.200,  0.890 
481.300,  0.883 
481.400,  0.951 
481.500,  0.945 
481.600,  0.965 
481.700,  0.948 
481.800,  0.811 
481.900,  0.982 
482.000,  0.885 
482.100,  0.906 
482.200,  0.960 
482.300,  0.865 
482.400,  0.843 
482.500,  0.942 
482.600,  0.937 
482.700,  0.918 
482.800,  0.999 
482.900,  0.831 
483.000,  0.931 
483.100,  0.884 
483.200,  0.896 
483.300,  0.890 
483.400,  0.932 
483.500,  0.905 
483.600,  0.790 
483.700,  0.952 
483.800,  0.932 
483.900,  0.880 
484.000,  0.706 
484.100,  0.880 
484.200,  0.906 
484.300,  0.863 
484.400,  0.927 
484.500,  0.905 
484.600,  0.866 
484.700,  0.907 
484.800,  0.916 
484.900,  0.872 
485.000,  0.981 
485.100,  0.899 
485.200,  0.844 
485.300,  0.829 
485.400,  0.913 
485.500,  0.769 
485.600,  0.725 
485.700,  0.837 
485.800,  0.830 
485.900,  0.740 
486.000,  0.620 
486.100,  0.410 
486.200,  0.534 
486.300,  0.770 
486.400,  0.668 
486.500,  0.839 
486.600,  0.737 
486.700,  0.867 
486.800,  0.814 
486.900,  0.874 
487.000,  0.850 
487.100,  0.661 
487.200,  0.714 
487.300,  0.895 
487.400,  0.873 
487.500,  0.898 
487.600,  0.805 
487.700,  0.948 
487.800,  0.744 
487.900,  0.931 
488.000,  0.964 
488.100,  0.944 
488.200,  0.770 
488.300,  1.004 
488.400,  0.957 
488.500,  0.834 
488.600,  0.883 
488.700,  0.798 
488.800,  0.893 
488.900,  0.766 
489.000,  0.991 
489.100,  0.589 
489.200,  0.868 
489.300,  0.892 
489.400,  0.922 
489.500,  0.947 
489.600,  0.974 
489.700,  0.938 
489.800,  0.982 
489.900,  0.994 
490.000,  0.885 
490.100,  0.956 
490.200,  0.864 
490.300,  0.785 
490.400,  0.863 
490.500,  0.974 
490.600,  0.985 
490.700,  0.946 
490.800,  0.876 
490.900,  0.936 
491.000,  0.820 
491.100,  0.817 
491.200,  0.869 
491.300,  0.970 
491.400,  0.911 
491.500,  0.938 
491.600,  0.970 
491.700,  0.907 
491.800,  0.880 
491.900,  0.732 
492.000,  0.829 
492.100,  0.830 
492.200,  0.851 
492.300,  0.978 
492.400,  0.872 
492.500,  0.761 
492.600,  0.927 
492.700,  0.876 
492.800,  0.941 
492.900,  0.976 
493.000,  0.928 
493.100,  0.969 
493.200,  0.974 
493.300,  0.857 
493.400,  0.794 
493.500,  0.970 
493.600,  0.840 
493.700,  0.907 
493.800,  0.855 
493.900,  0.778 
494.000,  0.802 
494.100,  0.935 
494.200,  0.856 
494.300,  0.911 
494.400,  0.966 
494.500,  0.942 
494.600,  0.856 
494.700,  0.981 
494.800,  0.929 
494.900,  0.940 
495.000,  0.924 
495.100,  0.972 
495.200,  0.951 
495.300,  0.880 
495.400,  1.000 
495.500,  0.861 
495.600,  0.945 
495.700,  0.721 
495.800,  0.682 
495.900,  0.933 
496.000,  0.965 
496.100,  0.983 
496.200,  0.933 
496.300,  0.908 
496.400,  0.969 
496.500,  0.868 
496.600,  0.863 
496.700,  0.924 
496.800,  0.809 
496.900,  0.944 
497.000,  0.891 
497.100,  0.873 
497.200,  0.956 
497.300,  0.870 
497.400,  0.966 
497.500,  0.940 
497.600,  0.913 
497.700,  0.932 
497.800,  0.968 
497.900,  0.819 
498.000,  0.862 
498.100,  0.898 
498.200,  0.767 
498.300,  0.745 
498.400,  0.766 
498.500,  0.876 
498.600,  0.827 
