wavelength, flux 
444.300,  0.993 
444.400,  0.970 
444.500,  0.989 
444.600,  0.982 
444.700,  0.990 
444.800,  1.027 
444.900,  0.990 
445.000,  0.948 
445.100,  0.970 
445.200,  0.995 
445.300,  0.996 
445.400,  1.009 
445.500,  1.001 
445.600,  1.007 
445.700,  0.986 
445.800,  1.021 
445.900,  1.016 
446.000,  0.996 
446.100,  1.000 
446.200,  0.952 
446.300,  1.032 
446.400,  0.992 
446.500,  0.994 
446.600,  1.001 
446.700,  1.021 
446.800,  0.944 
446.900,  0.966 
447.000,  1.006 
447.100,  0.981 
447.200,  0.961 
447.300,  1.014 
447.400,  1.044 
447.500,  1.000 
447.600,  0.947 
447.700,  1.008 
447.800,  1.007 
447.900,  0.945 
448.000,  0.999 
448.100,  0.710 
448.200,  0.952 
448.300,  1.007 
448.400,  1.000 
448.500,  1.027 
448.600,  0.988 
448.700,  0.999 
448.800,  1.004 
448.900,  0.993 
449.000,  1.010 
449.100,  0.937 
449.200,  1.021 
449.300,  0.979 
449.400,  1.000 
449.500,  0.935 
449.600,  0.999 
449.700,  1.004 
449.800,  0.971 
449.900,  1.008 
450.000,  1.001 
450.100,  0.944 
450.200,  0.974 
450.300,  0.981 
450.400,  0.999 
450.500,  1.011 
450.600,  1.012 
450.700,  0.993 
450.800,  0.934 
450.900,  1.047 
451.000,  0.992 
451.100,  0.966 
451.200,  0.969 
451.300,  1.018 
451.400,  0.984 
451.500,  0.956 
451.600,  0.981 
451.700,  0.964 
451.800,  0.994 
451.900,  1.009 
452.000,  0.950 
452.100,  0.983 
452.200,  0.996 
452.300,  0.947 
452.400,  0.986 
452.500,  0.990 
452.600,  0.996 
452.700,  0.962 
452.800,  1.004 
452.900,  0.999 
453.000,  1.005 
453.100,  0.971 
453.200,  0.994 
453.300,  0.985 
453.400,  0.894 
453.500,  0.984 
453.600,  1.008 
453.700,  1.016 
453.800,  0.966 
453.900,  0.981 
454.000,  1.006 
454.100,  0.968 
454.200,  0.955 
454.300,  1.024 
454.400,  1.026 
454.500,  1.007 
454.600,  0.972 
454.700,  1.013 
454.800,  0.993 
454.900,  0.901 
455.000,  0.912 
455.100,  0.996 
455.200,  0.985 
455.300,  0.985 
455.400,  0.966 
455.500,  0.971 
455.600,  0.906 
455.700,  0.996 
455.800,  0.986 
455.900,  0.936 
456.000,  0.976 
456.100,  1.010 
456.200,  0.985 
456.300,  0.977 
456.400,  0.940 
456.500,  0.965 
456.600,  1.008 
456.700,  1.009 
456.800,  1.004 
456.900,  1.011 
457.000,  1.013 
457.100,  1.011 
457.200,  0.959 
457.300,  0.991 
457.400,  0.997 
457.500,  0.996 
457.600,  0.961 
457.700,  1.031 
457.800,  0.964 
457.900,  0.999 
458.000,  0.964 
458.100,  0.997 
458.200,  1.027 
458.300,  0.977 
458.400,  0.910 
458.500,  0.984 
458.600,  0.997 
458.700,  0.988 
458.800,  0.991 
458.900,  0.997 
459.000,  0.957 
459.100,  0.986 
459.200,  0.980 
459.300,  1.040 
459.400,  0.985 
459.500,  0.992 
459.600,  0.974 
459.700,  0.968 
459.800,  0.971 
459.900,  0.985 
460.000,  0.981 
460.100,  0.998 
460.200,  0.957 
460.300,  1.003 
460.400,  0.957 
460.500,  0.974 
460.600,  1.023 
460.700,  1.001 
460.800,  1.000 
460.900,  1.004 
461.000,  1.004 
461.100,  1.011 
461.200,  0.971 
461.300,  0.998 
461.400,  1.004 
461.500,  0.984 
461.600,  0.993 
461.700,  0.947 
