wavelength, flux 
489.300,  0.731 
489.400,  0.743 
489.500,  0.785 
489.600,  0.782 
489.700,  0.759 
489.800,  0.876 
489.900,  0.834 
490.000,  0.602 
490.100,  0.685 
490.200,  0.729 
490.300,  0.626 
490.400,  0.596 
490.500,  0.754 
490.600,  0.801 
490.700,  0.702 
490.800,  0.726 
490.900,  0.686 
491.000,  0.676 
491.100,  0.686 
491.200,  0.637 
491.300,  0.796 
491.400,  0.646 
491.500,  0.712 
491.600,  0.802 
491.700,  0.756 
491.800,  0.667 
491.900,  0.437 
492.000,  0.457 
492.100,  0.481 
492.200,  0.547 
492.300,  0.799 
492.400,  0.811 
492.500,  0.569 
492.600,  0.705 
492.700,  0.656 
492.800,  0.637 
492.900,  0.720 
493.000,  0.721 
493.100,  0.841 
493.200,  0.826 
493.300,  0.665 
493.400,  0.517 
493.500,  0.669 
493.600,  0.664 
493.700,  0.791 
493.800,  0.571 
493.900,  0.413 
494.000,  0.438 
494.100,  0.679 
494.200,  0.575 
494.300,  0.649 
494.400,  0.831 
494.500,  0.741 
494.600,  0.678 
494.700,  0.756 
494.800,  0.608 
494.900,  0.670 
495.000,  0.680 
495.100,  0.830 
495.200,  0.803 
495.300,  0.662 
495.400,  0.620 
495.500,  0.551 
495.600,  0.615 
495.700,  0.343 
495.800,  0.353 
495.900,  0.666 
496.000,  0.655 
496.100,  0.653 
496.200,  0.669 
496.300,  0.675 
496.400,  0.598 
496.500,  0.490 
496.600,  0.491 
496.700,  0.509 
496.800,  0.633 
496.900,  0.606 
497.000,  0.608 
497.100,  0.643 
497.200,  0.705 
497.300,  0.595 
497.400,  0.523 
497.500,  0.589 
497.600,  0.656 
497.700,  0.758 
497.800,  0.590 
497.900,  0.410 
498.000,  0.488 
498.100,  0.479 
498.200,  0.328 
498.300,  0.457 
498.400,  0.563 
498.500,  0.516 
498.600,  0.495 
498.700,  0.717 
498.800,  0.574 
498.900,  0.512 
499.000,  0.529 
499.100,  0.316 
499.200,  0.714 
499.300,  0.635 
499.400,  0.282 
499.500,  0.497 
499.600,  0.507 
499.700,  0.597 
499.800,  0.677 
499.900,  0.510 
